ID;Nombre;Partido;Asistencia;Observacion;Hora Ingreso;ID_Sesion;ID_Legislatura
124;Romero Talguia Natalia;IND;A;;10:12;2;372
125;Rosas Barrientos Patricio;IND;A;;10:06;2;372
126;Sáez Quiroz Jaime;PRD;A;;10:04;2;372
127;Saffirio Espinoza Jorge;PDCH;A;;10:04;2;372
128;Sagardía Cabezas Clara;IND;A;;10:04;2;372
129;Sánchez Ossa Luis;PREP;A;;10:04;2;372
130;Santana Castillo Juan;PS;A;;10:28;2;372
131;Santibáñez Novoa Marisela;IND;I;MO;-;2;372
132;Sauerbaum Muñoz Frank;RN;A;;10:04;2;372
133;Schalper Sepúlveda Diego;RN;A;;11:22;2;372
134;Schneider Videla Emilia;PCS;A;;10:04;2;372
135;Schubert Rubio Stephan;IND;A;;10:04;2;372
136;Sepúlveda Soto Alexis;PRSD;A;;11:20;2;372
137;Serrano Salazar Daniela;PC;A;;11:38;2;372
138;Soto Ferrada Leonardo;PS;A;;10:04;2;372
139;Soto Mardones Raúl;PPD;A;;11:28;2;372
140;Sulantay Olivares Marco Antonio;UDI;A;;10:04;2;372
141;Tapia Ramos Cristián;IND;A;;11:18;2;372
142;Teao Drago Hotuiti;IND;A;;10:33;2;372
143;Tello Rojas Carolina;PC;I;MO;-;2;372
144;Trisotti Martínez Renzo;UDI;A;;10:11;2;372
145;Ulloa Aguilera Héctor;IND;A;;11:02;2;372
146;Undurraga Gazitúa Francisco;EVOP;A;;10:04;2;372
147;Undurraga Vicuña Alberto;DC;A;;10:04;2;372
148;Urruticoechea Ríos Cristóbal;PREP;A;;10:04;2;372
149;Veloso Ávila Consuelo;PRD;I;AOCPR;-;2;372
150;Venegas Salazar Nelson;PS;A;;10:04;2;372
151;Videla Castillo Sebastián;IND;A;;10:10;2;372
152;Von Mühlenbrock Zamora Gastón;UDI;A;;10:28;2;372
153;Weisse Novoa Flor;UDI;I;MO;-;2;372
154;Winter Etcheberry Gonzalo;PCS;A;;10:04;2;372
155;Yeomans Araya Gael;PCS;A;;10:11;2;372
1;Acevedo Sáez María Candelaria;PC;A;;18:08;3;372
2;Aedo Jeldres Eric;DC;A;;18:38;3;372
3;Ahumada Palma Yovana;IND;I;MO;-;3;372
4;Alessandri Vergara Jorge;UDI;A;;18:01;3;372
5;Alinco Bustos René;IND;A;;18:01;3;372
6;Araya Guerrero Jaime;IND;A;;18:01;3;372
7;Araya Lerdo De Tejada Cristián;PREP;A;;18:04;3;372
8;Arce Castro Mónica;IND;A;;18:01;3;372
9;Arroyo Muñoz Roberto;PSC;A;;18:01;3;372
10;Astudillo Peiretti Danisa;PS;A;;18:01;3;372
11;Barchiesi Chávez Chiara;PREP;A;;18:46;3;372
12;Barrera Moreno Boris;PC;A;;18:29;3;372
13;Barría Angulo Héctor;DC;I;LM;-;3;372
14;Becker Alvear Miguel Ángel;RN;A;;18:01;3;372
15;Bello Campos María Francisca;PCS;I;MO;-;3;372
16;Beltrán Silva Juan Carlos;RN;A;;18:01;3;372
17;Benavente Vergara Gustavo;UDI;A;;18:05;3;372
18;Berger Fett Bernardo;IND;A;;18:01;3;372
19;Bernales Maldonado Alejandro;LIBERAL;A;;18:11;3;372
20;Bianchi Chelech Carlos;IND;A;;18:08;3;372
21;Bobadilla Muñoz Sergio;UDI;I;LM;-;3;372
22;Bórquez Montecinos Fernando;UDI;A;;18:01;3;372
23;Bravo Castro Ana María;PS;A;;18:03;3;372
24;Bravo Salinas Marta;UDI;A;;18:01;3;372
25;Brito Hasbún Jorge;PRD;A;;18:01;3;372
26;Bugueño Sotelo Félix;IND;A;;18:01;3;372
27;Bulnes Núñez Mercedes;IND;I;AOCPR;-;3;372
28;Calisto Águila Miguel Ángel;IND;A;;18:03;3;372
29;Camaño Cárdenas Felipe;IND;A;;18:08;3;372
30;Cariola Oliva Karol;PC;A;;18:01;3;372
31;Carter Fernández Álvaro;UDI;A;;18:01;3;372
32;Castillo Rojas Nathalie;PC;A;;18:08;3;372
33;Castro Bascuñán José Miguel;RN;A;;18:03;3;372
34;Celis Montt Andrés;RN;I;IG;-;3;372
35;Cicardini Milla Daniella;PS;I;MO;-;3;372
36;Cid Versalovic Sofía;RN;A;;18:13;3;372
37;Cifuentes Lillo Ricardo;DC;A;;18:01;3;372
38;Coloma Álamos Juan Antonio;UDI;A;;18:01;3;372
39;Concha Smith Sara;PSC;A;;18:01;3;372
40;Cordero Velásquez María Luisa;IND;A;;18:01;3;372
41;Cornejo Lagos Eduardo;UDI;A;;18:07;3;372
42;Cuello Peña Y Lillo Luis Alberto;PC;A;;18:03;3;372
43;De La Carrera Correa Gonzalo;IND;A;;18:03;3;372
44;De Rementería Venegas Tomás;IND;A;;18:14;3;372
45;Del Real Mihovilovic Catalina;IND;A;;18:02;3;372
46;Delgado Riquelme Viviana;IND;A;;18:02;3;372
47;Donoso Castro Felipe;UDI;A;;18:01;3;372
48;Durán Espinoza Jorge;RN;A;;18:01;3;372
49;Durán Salinas Eduardo;RN;A;;18:01;3;372
50;Flores Oporto Camila;RN;I;;-;3;372
51;Fries Monleón Lorena;PCS;A;;18:01;3;372
52;Fuenzalida Cobo Juan;UDI;A;;18:01;3;372
53;Gazmuri Vieira Ana María;PAH;A;;18:02;3;372
54;Giordano Salazar Andrés;IND;A;;18:03;3;372
55;González Gatica Félix;PEV;A;;18:05;3;372
56;González Olea Marta;IND;I;MO;-;3;372
57;González Villarroel Mauro;RN;A;;18:01;3;372
58;Guzmán Zepeda Jorge;EVOP;A;;18:10;3;372
59;Hertz Cádiz Carmen;PC;A;;18:01;3;372
60;Hirsch Goldschmidt Tomás;PAH;A;;18:04;3;372
61;Ibáñez Cotroneo Diego;PCS;A;;18:05;3;372
62;Ilabaca Cerda Marcos;PS;A;;18:33;3;372
63;Irarrázaval Rossel Juan Manuel;PREP;A;;18:06;3;372
64;Jiles Moreno Pamela;PH;I;MO;-;3;372
65;Jouannet Valderrama Andrés;APCH;I;;-;3;372
66;Jürgensen Rundshagen Harry;IND;A;;18:01;3;372
67;Kaiser Barents-Von Hohenhagen Johannes;IND;A;;18:01;3;372
68;Labbé Martínez Cristian;UDI;A;;18:01;3;372
69;Labra Besserer Paula;IND;A;;18:01;3;372
70;Lagomarsino Guzmán Tomás;IND;A;;18:03;3;372
71;Lavín León Joaquín;UDI;A;;18:01;3;372
72;Leal Bizama Henry;UDI;A;;18:01;3;372
73;Lee Flores Enrique;PRI;A;;18:01;3;372
74;Leiva Carvajal Raúl;PS;A;;18:10;3;372
75;Lilayu Vivanco Daniel;UDI;A;;18:01;3;372
76;Longton Herrera Andrés;RN;A;;18:01;3;372
77;Malla Valenzuela Luis;LIBERAL;A;;18:04;3;372
78;Manouchehri Lobos Daniel;PS;A;;18:01;3;372
79;Martínez Ramírez Cristóbal;UDI;A;;18:01;3;372
80;Marzán Pinto Carolina;PPD;A;;18:05;3;372
81;Matheson Villán Christian;IND;A;;18:14;3;372
82;Medina Vásquez Karen;PDG;A;;18:03;3;372
83;Mellado Pino Cosme;PRSD;A;;18:07;3;372
84;Mellado Suazo Miguel;RN;A;;18:09;3;372
85;Melo Contreras Daniel;PS;A;;18:04;3;372
86;Meza Pereira José Carlos;PREP;A;;18:07;3;372
87;Mirosevic Verdugo Vlado;LIBERAL;A;;18:08;3;372
88;Mix Jiménez Claudia;COMUNES;A;;18:22;3;372
89;Molina Milman Helia;PPD;A;;18:02;3;372
90;Morales Alvarado Javiera;CS;A;;18:01;3;372
91;Morales Maldonado Carla;RN;A;;18:03;3;372
92;Moreira Barros Cristhian;UDI;A;;18:01;3;372
93;Moreno Bascur Benjamín;PREP;A;;18:07;3;372
94;Mulet Martínez Jaime;FRVS;A;;18:04;3;372
95;Muñoz González Francesca;PSC;I;MO;-;3;372
96;Musante Müller Camila;IND;A;;18:01;3;372
97;Naranjo Ortiz Jaime;PS;A;;18:30;3;372
98;Naveillan Arriagada Gloria;PDG;A;;18:01;3;372
99;Nuyado Ancapichún Emilia;PS;A;;18:06;3;372
100;Ñanco Vásquez Ericka;PRD;A;;18:01;3;372
101;Ojeda Rebolledo Mauricio;IND;A;;18:01;3;372
102;Olivera De La Fuente Erika;PDCH;I;MO;-;3;372
103;Orsini Pascal Maite;PRD;I;IG;-;3;372
104;Ossandón Irarrázabal Ximena;RN;I;MO;-;3;372
105;Oyarzo Figueroa Rubén Darío;PDG;A;;18:01;3;372
106;Palma Pérez Hernán;IND;A;;18:01;3;372
107;Pérez Cartes Marlene;IND;A;;18:02;3;372
108;Pérez Olea Joanna;PDCH;A;;18:04;3;372
109;Pérez Salinas Catalina;PRD;A;;18:55;3;372
110;Pino Fuentes Víctor Alejandro;IND;A;;18:01;3;372
111;Pizarro Sierra Lorena;PC;A;;18:59;3;372
112;Placencia Cabello Alejandra;PC;I;;-;3;372
113;Pulgar Castillo Francisco;IND;A;;18:01;3;372
114;Ramírez Diez Guillermo;UDI;A;;18:01;3;372
115;Ramírez Pascal Matías;PC;A;;18:08;3;372
116;Raphael Mora Marcia;RN;A;;18:01;3;372
117;Rathgeb Schifferli Jorge;RN;A;;18:01;3;372
118;Rey Martínez Hugo;RN;A;;18:04;3;372
